ID number,Name,Image Filename,Source Hint,Category Hint,Season Hint,,Farm
1,Spice Berry,1,Foraging,Food,Summer,,Forage
2,Starfruit,2,Farm,Crop,Summer,,Fish
3,Wool,3,Farm,Animal Goods,Any,,Artifacts
4,Void Egg,4,Farm,Animal Goods,Any,,Minerals
5,Pale Ale,5,Farm,Artisan,Any,,Cooking
6,Blue Jazz,6,Farm,Crop,Spring,,Artisan
7,Carrot,7,Farm,Crop,Spring,,
8,Cauliflower,8,Farm,Crop,Spring,,
9,Coffee Bean,9,Farm,Crop,Spring,,
10,Garlic,10,Farm,Crop,Spring,,
11,Green Bean,11,Farm,Crop,Spring,,
12,Kale,12,Farm,Crop,Spring,,
13,Parsnip,13,Farm,Crop,Spring,,
14,Potato,14,Farm,Crop,Spring,,
15,Rhubarb,15,Farm,Crop,Spring,,
16,Strawberry,16,Farm,Crop,Spring,,
17,Tulip,17,Farm,Crop,Spring,,
18,Unmilled Rice,18,Farm,Crop,Spring,,
19,Blueberry,19,Farm,Crop,Summer,,
20,Corn,20,Farm,Crop,Summer,,
21,Hops,21,Farm,Crop,Summer,,
22,Hot Pepper,22,Farm,Crop,Summer,,
23,Melon,23,Farm,Crop,Summer,,
24,Poppy,24,Farm,Crop,Summer,,
25,Radish,25,Farm,Crop,Summer,,
26,Red Cabbage,26,Farm,Crop,Summer,,
27,Starfruit,27,Farm,Crop,Summer,,
28,Summer Spangle,28,Farm,Crop,Summer,,
29,Summer Squash,29,Farm,Crop,Summer,,
30,Sunflower,30,Farm,Crop,Summer,,
31,Tomato,31,Farm,Crop,Summer,,
32,Wheat,32,Farm,Crop,Summer,,
33,Amaranth ,33,Farm,Crop,Fall,,
34,Artichoke,34,Farm,Crop,Fall,,
35,Beet,35,Farm,Crop,Fall,,
36,Bok Choy,36,Farm,Crop,Fall,,
37,Broccoli,37,Farm,Crop,Fall,,
38,Cranberries,38,Farm,Crop,Fall,,
39,Eggplant,39,Farm,Crop,Fall,,
40,Fairy Rose,40,Farm,Crop,Fall,,
41,Grape,41,Farm,Crop,Fall,,
42,Pumpkin,42,Farm,Crop,Fall,,
43,Yam,43,Farm,Crop,Fall,,
44,Powdermelon,44,Farm,Crop,Winter,,
45,Ancient Fruit,45,Farm,Crop,"Spring, Summer, Fall",,
46,Cactus Fruit,46,Farm,Crop,Indoor,,
47,Fiber,47,Farm,Crop,Any,,
48,Mised Flower Seeds,48,Farm,Crop,Any,,
49,Mixed Seeds,49,Farm,Crop,Any,,
50,Pineapple,50,Farm,Crop,Summer,,
51,Taro Root,51,Farm,Crop,Summer,,
52,Sweet Gem Berry,52,Farm,Crop,Fall,,
53,Tea Leaves,53,Farm,Crop,Any,,
54,Honey,54,Farm,Animal Goods,"Spring, Summer, Fall",,
55,Wine,55,Farm,Artisan,Any,,
56,Pale Ale,56,Farm,Artisan,Any,,
57,Beer,57,Farm,Artisan,Any,,
58,Mead,58,Farm,Artisan,Any,,
59,Cheese,59,Farm,Artisan,Any,,
60,Goat Cheese,60,Farm,Artisan,Any,,
61,Vinegar,61,Farm,Artisan,Any,,
62,Coffee,62,Farm,Artisan,Any,,
63,Green Tea,63,Farm,Artisan,Any,,
64,Juice,64,Farm,Artisan,Any,,
65,Cloth,65,Farm,Artisan,Any,,
66,Mayonnaise,66,Farm,Artisan,Any,,
67,Duck Mayonnaise,67,Farm,Artisan,Any,,
68,Void Mayonnaise,68,Farm,Artisan,Any,,
69,Dinosaur Mayonnaise,69,Farm,Artisan,Any,,
70,Truffle Oil,70,Farm,Artisan,Any,,
71,Oil,71,Farm,Artisan,Any,,
72,Pickles,72,Farm,Artisan,Any,,
73,Jelly,73,Farm,Artisan,Any,,
74,Caviar,74,Farm,Artisan,Any,,
75,Aged Roe,75,Farm,Artisan,Any,,
76,Dried Mushrooms,76,Farm,Artisan,Any,,
77,Dried Fruit,77,Farm,Artisan,Any,,
78,Raisins,78,Farm,Artisan,Any,,
79,Smoked Fish,79,Farm,Artisan,Any,,
